   Time             I(C0)             I(L0)             I(R0)             V0              
 9.134000000E-003 -1.003877572E+001  1.945092819E+001  1.003874566E+001  1.505811849E+002 
 9.135000000E-003 -1.001392723E+001  1.967086922E+001  1.001389721E+001  1.502084581E+002 
 9.136000000E-003 -9.989140240E+000  1.989081025E+001  9.989110257E+000  1.498366539E+002 
 9.137000000E-003 -9.964414609E+000  2.011075128E+001  9.964384662E+000  1.494657699E+002 
 9.138000000E-003 -9.939750179E+000  2.033069230E+001  9.939720270E+000  1.490958040E+002 
 9.139000000E-003 -9.915146800E+000  2.055063332E+001  9.915116928E+000  1.487267539E+002 
 9.140000000E-003 -9.890604321E+000  2.077057434E+001  9.890574485E+000  1.483586173E+002 
 9.141000000E-003 -9.866122590E+000  2.099051535E+001  9.866092791E+000  1.479913919E+002 
 9.142000000E-003 -9.841701458E+000  2.121045636E+001  9.841671696E+000  1.476250754E+002 
 9.143000000E-003 -9.817340775E+000  2.143039736E+001  9.817311049E+000  1.472596657E+002 
 9.144000000E-003 -9.793040390E+000  2.165033836E+001  9.793010700E+000  1.468951605E+002 
 9.145000000E-003 -9.768800154E+000  2.187027936E+001  9.768770501E+000  1.465315575E+002 
 9.146000000E-003  1.207885696E+001  2.185299568E+001  9.774109052E+000  1.466116358E+002 
 9.147000000E-003  1.183391647E+001  2.163753516E+001  9.803588988E+000  1.470538348E+002 
 9.148000000E-003  1.158895084E+001  2.142159420E+001  9.832613606E+000  1.474892041E+002 
 9.149000000E-003  1.134396066E+001  2.120502155E+001  9.861031093E+000  1.479154664E+002 
 9.150000000E-003  1.109895932E+001  2.098783056E+001  9.888841403E+000  1.483326210E+002 
 9.151000000E-003  1.085396019E+001  2.077003459E+001  9.916044525E+000  1.487406679E+002 
 9.152000000E-003  1.060897659E+001  2.055164699E+001  9.942640481E+000  1.491396072E+002 
 9.153000000E-003  1.036402183E+001  2.033268111E+001  9.968629327E+000  1.495294399E+002 
 9.154000000E-003  1.011910917E+001  2.011315031E+001  9.994011149E+000  1.499101672E+002 
 9.155000000E-003  9.874251836E+000  1.989306793E+001  1.001878607E+001  1.502817911E+002 
 9.156000000E-003  9.629463026E+000  1.967244733E+001  1.004295424E+001  1.506443136E+002 
 9.157000000E-003  9.384755895E+000  1.945130185E+001  1.006651585E+001  1.509977378E+002 
 9.158000000E-003  9.140143563E+000  1.922964482E+001  1.008947112E+001  1.513420668E+002 
 9.159000000E-003  8.895639112E+000  1.900748957E+001  1.011182029E+001  1.516773044E+002 
 9.160000000E-003  8.651255586E+000  1.878484944E+001  1.013356365E+001  1.520034548E+002 
 9.161000000E-003  8.407005989E+000  1.856173775E+001  1.015470153E+001  1.523205229E+002 
 9.162000000E-003  8.162903288E+000  1.833816780E+001  1.017523425E+001  1.526285138E+002 
 9.163000000E-003  7.918960407E+000  1.811415291E+001  1.019516221E+001  1.529274332E+002 
 9.164000000E-003 -1.019829743E+001  1.805130186E+001  1.019826713E+001  1.529740069E+002 
 9.165000000E-003 -1.017306970E+001  1.827124292E+001  1.017303944E+001  1.525955916E+002 
 9.166000000E-003 -1.014788879E+001  1.849118397E+001  1.014785857E+001  1.522178786E+002 
 9.167000000E-003 -1.012277022E+001  1.871112502E+001  1.012274004E+001  1.518411005E+002 
 9.168000000E-003 -1.009771382E+001  1.893106606E+001  1.009768367E+001  1.514652551E+002 
 9.169000000E-003 -1.007271944E+001  1.915100710E+001  1.007268933E+001  1.510903400E+002 
 9.170000000E-003 -1.004778693E+001  1.937094814E+001  1.004775686E+001  1.507163529E+002 
 9.171000000E-003 -1.002291613E+001  1.959088918E+001  1.002288610E+001  1.503432915E+002 
 9.172000000E-003 -9.998106898E+000  1.981083021E+001  9.998076901E+000  1.499711535E+002 
 9.173000000E-003 -9.973359072E+000  2.003077124E+001  9.973329112E+000  1.495999367E+002 
 9.174000000E-003 -9.948672503E+000  2.025071226E+001  9.948642580E+000  1.492296387E+002 
 9.175000000E-003 -9.924047039E+000  2.047065328E+001  9.924017153E+000  1.488602573E+002 
 9.176000000E-003 -9.899482529E+000  2.069059430E+001  9.899452680E+000  1.484917902E+002 
 9.177000000E-003 -9.874978823E+000  2.091053531E+001  9.874949010E+000  1.481242352E+002 
 9.178000000E-003 -9.850535769E+000  2.113047632E+001  9.850505993E+000  1.477575899E+002 
 9.179000000E-003 -9.826153218E+000  2.135041733E+001  9.826123479E+000  1.473918522E+002 
 9.180000000E-003 -9.801831021E+000  2.157035833E+001  9.801801318E+000  1.470270198E+002 
 9.181000000E-003 -9.777569026E+000  2.179029933E+001  9.777539360E+000  1.466630904E+002 
 9.182000000E-003  1.216796250E+001  2.193127432E+001  9.763282173E+000  1.464492326E+002 
 9.183000000E-003  1.192303563E+001  2.171604829E+001  9.792982966E+000  1.468947445E+002 
 9.184000000E-003  1.167807997E+001  2.150033817E+001  9.822228462E+000  1.473334269E+002 
 9.185000000E-003  1.143309488E+001  2.128399150E+001  9.850866845E+000  1.477630027E+002 
 9.186000000E-003  1.118809376E+001  2.106702163E+001  9.878898057E+000  1.481834709E+002 
 9.187000000E-003  1.094308999E+001  2.084944193E+001  9.906322077E+000  1.485948312E+002 
 9.188000000E-003  1.069809692E+001  2.063126573E+001  9.933138913E+000  1.489970837E+002 
 9.189000000E-003  1.045312785E+001  2.041250640E+001  9.959348609E+000  1.493902291E+002 
 9.190000000E-003  1.020819607E+001  2.019317729E+001  9.984951241E+000  1.497742686E+002 
 9.191000000E-003  9.963314823E+000  1.997329176E+001  1.000994692E+001  1.501492038E+002 
 9.192000000E-003  9.718497304E+000  1.975286314E+001  1.003433578E+001  1.505150367E+002 
 9.193000000E-003  9.473756687E+000  1.953190478E+001  1.005811800E+001  1.508717701E+002 
 9.194000000E-003  9.229106108E+000  1.931043002E+001  1.008129379E+001  1.512194069E+002 
 9.195000000E-003  8.984558660E+000  1.908845221E+001  1.010386339E+001  1.515579509E+002 
 9.196000000E-003  8.740127403E+000  1.886598466E+001  1.012582707E+001  1.518874060E+002 
 9.197000000E-003  8.495825356E+000  1.864304070E+001  1.014718512E+001  1.522077769E+002 
 9.198000000E-003  8.251665498E+000  1.841963365E+001  1.016793790E+001  1.525190685E+002 
 9.199000000E-003  8.007660770E+000  1.819577682E+001  1.018808576E+001  1.528212865E+002 
 9.200000000E-003  7.763824072E+000  1.797148350E+001  1.020762912E+001  1.531144367E+002 
 9.201000000E-003 -1.018240854E+001  1.819142456E+001  1.018237827E+001  1.527356740E+002 
 9.202000000E-003 -1.015722012E+001  1.841136561E+001  1.015718988E+001  1.523578482E+002 
 9.203000000E-003 -1.013207845E+001  1.863130666E+001  1.013204825E+001  1.519807237E+002 
 9.204000000E-003 -1.010699901E+001  1.885124771E+001  1.010696885E+001  1.516045327E+002 
 9.205000000E-003 -1.008198165E+001  1.907118875E+001  1.008195152E+001  1.512292728E+002 
 9.206000000E-003 -1.005702621E+001  1.929112979E+001  1.005699612E+001  1.508549418E+002 
 9.207000000E-003 -1.003213254E+001  1.951107083E+001  1.003210249E+001  1.504815374E+002 
 9.208000000E-003 -1.000730049E+001  1.973101186E+001  1.000727048E+001  1.501090572E+002 
 9.209000000E-003 -9.982529911E+000  1.995095289E+001  9.982499937E+000  1.497374991E+002 
 9.210000000E-003 -9.957820641E+000  2.017089391E+001  9.957790704E+000  1.493668606E+002 
 9.211000000E-003 -9.933172533E+000  2.039083493E+001  9.933142634E+000  1.489971395E+002 
 9.212000000E-003 -9.908585436E+000  2.061077595E+001  9.908555573E+000  1.486283336E+002 
 9.213000000E-003 -9.884059197E+000  2.083071697E+001  9.884029371E+000  1.482604406E+002 
 9.214000000E-003 -9.859593668E+000  2.105065798E+001  9.859563878E+000  1.478934582E+002 
 9.215000000E-003 -9.835188696E+000  2.127059899E+001  9.835158944E+000  1.475273842E+002 
 9.216000000E-003 -9.810844133E+000  2.149053999E+001  9.810814417E+000  1.471622163E+002 
