   Time             I(C0)             I(L0)             I(R0)             V0              
 8.146000000E-003 -8.542708123E+000  1.483277513E+001  8.542670682E+000  1.744128600E+002 
 8.147000000E-003 -8.526248738E+000  1.522021103E+001  8.526211331E+000  1.740768150E+002 
 8.148000000E-003 -8.509821066E+000  1.560764693E+001  8.509783692E+000  1.737414173E+002 
 8.149000000E-003 -8.493425045E+000  1.599508282E+001  8.493387705E+000  1.734066659E+002 
 8.150000000E-003 -8.477060615E+000  1.638251870E+001  8.477023308E+000  1.730725595E+002 
 8.151000000E-003 -8.460727714E+000  1.676995457E+001  8.460690440E+000  1.727390968E+002 
 8.152000000E-003 -8.444426283E+000  1.715739043E+001  8.444389042E+000  1.724062766E+002 
 8.153000000E-003 -8.428156259E+000  1.754482628E+001  8.428119052E+000  1.720740976E+002 
 8.154000000E-003 -8.411917583E+000  1.793226213E+001  8.411880409E+000  1.717425586E+002 
 8.155000000E-003 -8.395710195E+000  1.831969797E+001  8.395673054E+000  1.714116585E+002 
 8.156000000E-003 -8.379534034E+000  1.870713380E+001  8.379496925E+000  1.710813958E+002 
 8.157000000E-003 -8.363389039E+000  1.909456962E+001  8.363351964E+000  1.707517695E+002 
 8.158000000E-003 -8.347275151E+000  1.948200543E+001  8.347238109E+000  1.704227783E+002 
 8.159000000E-003 -8.331192311E+000  1.986944124E+001  8.331155301E+000  1.700944210E+002 
 8.160000000E-003 -8.315140457E+000  2.025687704E+001  8.315103480E+000  1.697666963E+002 
 8.161000000E-003 -8.299119531E+000  2.064431282E+001  8.299082587E+000  1.694396031E+002 
 8.162000000E-003 -8.283129472E+000  2.103174860E+001  8.283092561E+000  1.691131401E+002 
 8.163000000E-003 -8.267170222E+000  2.141918438E+001  8.267133344E+000  1.687873060E+002 
 8.164000000E-003 -8.251241721E+000  2.180662014E+001  8.251204875E+000  1.684620998E+002 
 8.165000000E-003  1.353866846E+001  2.179735233E+001  8.258647011E+000  1.686140434E+002 
 8.166000000E-003  1.318567125E+001  2.146995492E+001  8.284246754E+000  1.691367048E+002 
 8.167000000E-003  1.283243732E+001  2.114180993E+001  8.309335645E+000  1.696489364E+002 
 8.168000000E-003  1.247890612E+001  2.081268614E+001  8.333743012E+000  1.701472534E+002 
 8.169000000E-003  1.212510515E+001  2.048261052E+001  8.357468308E+000  1.706316449E+002 
 8.170000000E-003  1.177106190E+001  2.015161005E+001  8.380511041E+000  1.711021007E+002 
 8.171000000E-003  1.141680380E+001  1.981971173E+001  8.402870768E+000  1.715586118E+002 
 8.172000000E-003  1.106235828E+001  1.948694258E+001  8.424547103E+000  1.720011703E+002 
 8.173000000E-003  1.070775270E+001  1.915332965E+001  8.445539710E+000  1.724297694E+002 
 8.174000000E-003  1.035301439E+001  1.881889998E+001  8.465848307E+000  1.728444032E+002 
 8.175000000E-003  9.998170638E+000  1.848368062E+001  8.485472664E+000  1.732450672E+002 
 8.176000000E-003  9.643248686E+000  1.814769865E+001  8.504412604E+000  1.736317576E+002 
 8.177000000E-003  9.288275732E+000  1.781098113E+001  8.522668002E+000  1.740044720E+002 
 8.178000000E-003  8.933278922E+000  1.747355514E+001  8.540238787E+000  1.743632089E+002 
 8.179000000E-003  8.578285354E+000  1.713544776E+001  8.557124938E+000  1.747079678E+002 
 8.180000000E-003  8.223322074E+000  1.679668606E+001  8.573326488E+000  1.750387494E+002 
 8.181000000E-003  7.868416070E+000  1.645729713E+001  8.588843521E+000  1.753555555E+002 
 8.182000000E-003  7.513594278E+000  1.611730802E+001  8.603676174E+000  1.756583888E+002 
 8.183000000E-003  7.158883574E+000  1.577674580E+001  8.617824635E+000  1.759472533E+002 
 8.184000000E-003  6.804310772E+000  1.543563754E+001  8.631289144E+000  1.762221536E+002 
 8.185000000E-003  6.449902626E+000  1.509401026E+001  8.644069992E+000  1.764830960E+002 
