   Time             I(L1)             V0              
 9.423000000E-003  2.929546309E+001  4.886993811E+001 
 9.424000000E-003  2.979605522E+001  4.889025000E+001 
 9.425000000E-003  3.029645980E+001  4.894569546E+001 
 9.426000000E-003  3.079650672E+001  4.903474128E+001 
 9.427000000E-003  3.129603327E+001  4.915590834E+001 
 9.428000000E-003  3.179488399E+001  4.930776977E+001 
 9.429000000E-003  3.229291033E+001  4.948894927E+001 
 9.430000000E-003  3.278997043E+001  4.969811936E+001 
 9.431000000E-003  3.275906417E+001  4.991747869E+001 
 9.432000000E-003  3.251122950E+001  5.010834876E+001 
 9.433000000E-003  3.226274257E+001  5.027972210E+001 
 9.434000000E-003  3.201346987E+001  5.042580668E+001 
 9.435000000E-003  3.176353402E+001  5.054763985E+001 
 9.436000000E-003  3.151305259E+001  5.064622291E+001 
 9.437000000E-003  3.126213831E+001  5.072252230E+001 
 9.438000000E-003  3.101089916E+001  5.077747078E+001 
 9.439000000E-003  3.075943862E+001  5.081196851E+001 
 9.440000000E-003  3.050785578E+001  5.082688417E+001 
 9.441000000E-003  3.025624552E+001  5.082305599E+001 
 9.442000000E-003  3.000469861E+001  5.080129278E+001 
 9.443000000E-003  2.975330191E+001  5.076237488E+001 
 9.444000000E-003  2.950213849E+001  5.070705513E+001 
 9.445000000E-003  2.925128774E+001  5.063605977E+001 
 9.446000000E-003  2.900082553E+001  5.055008936E+001 
 9.447000000E-003  2.875082433E+001  5.044981960E+001 
 9.448000000E-003  2.850135331E+001  5.033590217E+001 
 9.449000000E-003  2.825247847E+001  5.020896556E+001 
 9.450000000E-003  2.800426276E+001  5.006961580E+001 
 9.451000000E-003  2.775676620E+001  4.991843724E+001 
 9.452000000E-003  2.751004595E+001  4.975599329E+001 
 9.453000000E-003  2.726415642E+001  4.958282707E+001 
 9.454000000E-003  2.701914941E+001  4.939946214E+001 
 9.455000000E-003  2.711280362E+001  4.921527691E+001 
 9.456000000E-003  2.761227328E+001  4.907425221E+001 
 9.457000000E-003  2.811217563E+001  4.896463919E+001 
 9.458000000E-003  2.861251985E+001  4.889573007E+001 
 9.459000000E-003  2.911310870E+001  4.886579597E+001 
 9.460000000E-003  2.961375338E+001  4.887316862E+001 
 9.461000000E-003  3.011427317E+001  4.891623831E+001 
 9.462000000E-003  3.061449521E+001  4.899345196E+001 
 9.463000000E-003  3.111425416E+001  4.910331125E+001 
